# Winner's overall average speed per grand tour edition, km/h. Empty cells
# are editions not held (wars, and the Vuelta's irregular early decades) or
# not yet raced. Tour and Giro from bikeraceinfo.com statistics tables;
# Vuelta from Spanish Wikipedia, Anexo: Datos estadisticos de la Vuelta a
# Espana, 2025 from cyclistshub.com. All retrieved 2026-08-27.
year,tour,giro,vuelta
1903,25.679,,
1904,24.849,,
1905,27.107,,
1906,24.463,,
1907,28.470,,
1908,28.740,,
1909,28.658,27.260,
1910,29.099,26.110,
1911,27.322,26.220,
1912,27.763,27.323,
1913,26.715,26.380,
1914,26.835,23.370,
1919,24.056,26.440,
1920,24.072,25.640,
1921,24.724,25.590,
1922,24.196,25.860,
1923,24.233,25.895,
1924,24.250,25.138,
1925,24.820,25.600,
1926,24.275,25.113,
1927,27.224,25.847,
1928,28.400,26.748,
1929,28.319,27.290,
1930,28.000,26.878,
1931,28.735,29.332,
1932,29.047,30.594,
1933,29.818,30.043,
1934,30.360,30.548,
1935,30.650,31.363,28.537
1936,31.108,31.279,28.994
1937,31.768,31.365,
1938,31.565,33.272,
1939,31.986,34.150,
1940,,33.240,
1941,,,26.108
1942,,,27.505
1945,,,28.018
1946,,33.369,27.679
1947,31.412,33.153,27.679
1948,33.442,33.166,25.724
1949,32.121,32.566,
1950,32.778,33.816,29.118
1951,32.949,34.217,
1952,32.233,34.560,
1953,34.593,34.020,
1954,33.229,33.563,
1955,34.446,35.550,33.799
1956,36.268,34.677,33.426
1957,34.520,37.488,35.008
1958,36.919,36.274,32.248
1959,35.474,35.909,36.012
1960,37.210,37.006,34.575
1961,36.033,35.934,36.377
1962,37.317,33.955,35.684
1963,37.092,34.774,37.694
1964,35.419,35.740,36.633
1965,35.886,34.270,36.954
1966,36.760,35.744,37.605
1967,34.756,35.339,37.605
1968,33.556,36.031,37.958
1969,35.409,35.651,39.843
1970,35.589,36.518,39.576
1971,38.084,36.597,37.829
1972,35.514,36.120,37.284
1973,33.407,35.506,36.098
1974,35.241,35.372,34.420
1975,34.906,35.535,34.945
1976,34.518,34.683,35.814
1977,35.419,36.925,35.294
1978,36.084,35.563,35.014
1979,36.513,36.887,35.529
1980,35.144,35.897,36.486
1981,38.960,37.150,35.675
1982,38.059,36.447,35.929
1983,36.230,38.937,35.975
1984,35.882,38.681,37.214
1985,36.232,37.893,36.174
1986,37.020,37.615,37.398
1987,36.645,37.045,37.149
1988,38.909,36.788,38.506
1989,37.487,36.552,39.309
1990,38.261,37.609,39.224
1991,38.747,37.303,38.797
1992,39.504,37.092,36.968
1993,38.709,37.712,37.303
1994,38.383,37.150,38.333
1995,39.193,38.260,39.246
1996,39.227,37.875,39.986
1997,39.230,38.074,41.344
1998,39.983,38.570,40.471
1999,40.273,37.595,39.790
2000,39.556,37.540,40.950
2001,40.020,37.777,42.164
2002,39.930,37.538,41.792
2003,40.940,38.928,42.518
2004,40.553,38.542,39.041
2005,41.654,38.837,40.850
2006,40.781,38.294,39.480
2007,38.980,37.520,40.486
2008,40.500,37.837,40.486
2009,40.310,40.132,37.725
2010,39.585,39.707,37.178
2011,39.788,38.758,39.062
2012,39.830,38.210,38.964
2013,40.545,39.270,39.702
2014,40.662,39.045,39.196
2015,39.640,39.310,39.229
2016,39.616,40.020,39.693
2017,40.997,39.846,39.971
2018,40.210,40.181,39.846
2019,40.576,39.418,39.587
2020,39.872,39.235,39.121
2021,41.165,39.528,40.715
2022,42.031,39.824,40.788
2023,41.431,39.488,41.097
2024,41.818,41.866,40.384
2025,43.398,41.728,42.650
2026,42.699,41.475,
