# Assessed global surface air temperature anomaly (deg C vs 1850-1900) per
# scenario, best estimate. IPCC AR6 WG1 Summary for Policymakers, data for
# Figure SPM.8 panel a (v20210809), CEDA catalogue
# uuid 98af2184e13e4b91893ab72f301790db. CC BY 4.0. Retrieved 2026-08-27.
year,ssp1_1_9,ssp1_2_6,ssp2_4_5,ssp3_7_0,ssp5_8_5
2015,1.099,1.099,1.103,1.094,1.110
2016,1.123,1.125,1.127,1.118,1.137
2017,1.149,1.151,1.152,1.143,1.166
2018,1.175,1.177,1.177,1.170,1.195
2019,1.201,1.202,1.203,1.195,1.224
2020,1.225,1.229,1.230,1.220,1.254
2021,1.252,1.254,1.256,1.247,1.283
2022,1.277,1.279,1.281,1.273,1.316
2023,1.300,1.302,1.307,1.299,1.347
2024,1.321,1.325,1.333,1.324,1.377
2025,1.344,1.351,1.358,1.349,1.410
2026,1.367,1.373,1.381,1.376,1.442
2027,1.388,1.396,1.406,1.403,1.475
2028,1.407,1.417,1.433,1.432,1.509
2029,1.426,1.440,1.458,1.460,1.544
2030,1.444,1.461,1.483,1.488,1.577
2031,1.459,1.480,1.506,1.517,1.610
2032,1.474,1.499,1.529,1.546,1.644
2033,1.488,1.518,1.551,1.574,1.678
2034,1.499,1.534,1.573,1.602,1.713
2035,1.510,1.550,1.594,1.630,1.748
2036,1.520,1.565,1.617,1.660,1.783
2037,1.528,1.579,1.641,1.691,1.818
2038,1.535,1.595,1.665,1.720,1.854
2039,1.543,1.610,1.689,1.749,1.892
2040,1.550,1.622,1.712,1.781,1.933
2041,1.554,1.635,1.737,1.815,1.973
2042,1.559,1.648,1.762,1.847,2.011
2043,1.563,1.660,1.787,1.876,2.052
2044,1.566,1.670,1.809,1.908,2.094
2045,1.568,1.680,1.831,1.940,2.136
2046,1.567,1.691,1.855,1.974,2.178
2047,1.567,1.700,1.880,2.006,2.219
2048,1.567,1.708,1.902,2.037,2.261
2049,1.566,1.716,1.922,2.066,2.304
2050,1.565,1.724,1.946,2.101,2.348
2051,1.565,1.733,1.973,2.133,2.393
2052,1.563,1.740,1.994,2.167,2.439
2053,1.561,1.747,2.017,2.200,2.486
2054,1.560,1.754,2.039,2.235,2.531
2055,1.557,1.760,2.061,2.268,2.573
2056,1.553,1.766,2.084,2.300,2.619
2057,1.550,1.770,2.104,2.334,2.668
2058,1.547,1.774,2.125,2.368,2.713
2059,1.544,1.778,2.146,2.404,2.757
2060,1.540,1.783,2.165,2.439,2.797
2061,1.537,1.786,2.186,2.473,2.845
2062,1.533,1.788,2.205,2.510,2.893
2063,1.529,1.792,2.225,2.547,2.942
2064,1.525,1.795,2.245,2.584,2.989
2065,1.521,1.797,2.263,2.622,3.036
2066,1.518,1.799,2.281,2.659,3.086
2067,1.514,1.799,2.298,2.696,3.135
2068,1.511,1.799,2.316,2.730,3.181
2069,1.507,1.801,2.334,2.765,3.229
2070,1.503,1.801,2.350,2.799,3.280
2071,1.499,1.800,2.366,2.837,3.329
2072,1.496,1.801,2.386,2.876,3.376
2073,1.492,1.800,2.401,2.912,3.426
2074,1.489,1.799,2.421,2.950,3.478
2075,1.487,1.799,2.437,2.987,3.528
2076,1.483,1.798,2.449,3.028,3.579
2077,1.479,1.796,2.469,3.066,3.630
2078,1.475,1.794,2.485,3.102,3.679
2079,1.469,1.792,2.499,3.141,3.734
2080,1.464,1.789,2.513,3.181,3.784
2081,1.459,1.787,2.527,3.218,3.833
2082,1.455,1.784,2.542,3.254,3.886
2083,1.451,1.781,2.557,3.293,3.939
2084,1.447,1.778,2.572,3.332,3.990
2085,1.444,1.775,2.586,3.371,4.042
2086,1.439,1.772,2.601,3.409,4.093
2087,1.434,1.769,2.614,3.448,4.145
2088,1.430,1.764,2.627,3.490,4.198
2089,1.424,1.761,2.639,3.530,4.249
2090,1.418,1.759,2.650,3.568,4.300
2091,1.414,1.754,2.665,3.606,4.351
2092,1.411,1.750,2.675,3.645,4.402
2093,1.407,1.746,2.687,3.684,4.451
2094,1.403,1.742,2.698,3.721,4.499
2095,1.400,1.739,2.710,3.758,4.549
2096,1.396,1.735,2.721,3.796,4.597
2097,1.392,1.732,2.730,3.835,4.644
2098,1.388,1.727,2.740,3.872,4.690
2099,1.385,1.724,2.748,3.909,4.735
